Word,Frequency,Rank
goddard,25,642
friendship,25,643
elegant,25,644
silent,25,645
favour,25,646
instead,25,647
lived,25,648
knowing,25,649
led,25,650
looks,25,651
judge,25,652
aware,25,653
yesterday,25,654
pay,25,655
plan,25,656
campbells,25,657
depend,25,658
worse,25,659
style,25,660
comes,24,661
satisfaction,24,662
struck,24,663
mine,24,664
admiration,24,665
marrying,24,666
distance,24,667
honour,24,668
generally,24,669
highly,24,670
spite,24,671
attached,24,672
alone,24,673
sight,24,674
write,24,675
eye,24,676
sensible,24,677
fortunate,24,678
entered,24,679
influence,24,680
seems,24,681
disposition,24,682
notice,24,683
guess,23,684
send,23,685
hours,23,686
join,23,687
chuse,23,688
box,23,689
proof,23,690
table,23,691
became,23,692
fact,23,693
justice,23,694
scheme,23,695
purpose,23,696
behaviour,23,697
hurry,23,698
to-day,23,699
gentleman,23,700
consideration,23,701
horses,23,702
sake,23,703
odd,23,704
turning,23,705
sad,23,706
pray,23,707
abbey,23,708
understood,23,709
vain,23,710
written,22,711
caught,22,712
pleasing,22,713
to-morrow,22,714
town,22,715
trying,22,716
hands,22,717
beautiful,22,718
secret,22,719
standing,22,720
thinks,22,721
hill,22,722
tone,22,723
blush,22,724
loss,22,725
event,22,726
promise,22,727
telling,22,728
observe,22,729
favourite,22,730
kept,22,731
also,22,732
tea,22,733
note,22,734
due,22,735
especially,22,736
try,22,737
music,22,738
extraordinary,22,739
four,22,740
quick,22,741
enjoyment,22,742
bates's,22,743
claims,22,744
service,22,745
suspect,21,746
eltons,21,747
scarcely,21,748
safe,21,749
stand,21,750
wait,21,751
instrument,21,752
henry,21,753
quarter,21,754
invitation,21,755
useful,21,756
spent,21,757
couple,21,758
mistaken,21,759
gentlemen,21,760
agreed,21,761
intimacy,21,762
hopes,21,763
country,21,764
presently,21,765
summer,21,766
age,21,767
approbation,21,768
duty,21,769
dance,21,770
inclination,21,771
expect,20,772
weeks,20,773
pianoforte,20,774
smallest,20,775
connexion,20,776
recommend,20,777
consciousness,20,778
bath,20,779
plain,20,780
delight,20,781
complete,20,782
deserve,20,783
observed,20,784
rain,20,785
fault,20,786
reasonable,20,787
picture,20,788
nonsense,20,789
likeness,20,790
past,20,791
women,20,792
considering,20,793
silence,20,794
lost,20,795
respectable,20,796
lately,20,797
fixed,20,798
chance,19,799
hers,19,800
sigh,19,801
high,19,802
work,19,803
paid,19,804
uncle,19,805
wishes,19,806
thoroughly,19,807
jane's,19,808
lose,19,809
ease,19,810
encouragement,19,811
offer,19,812
distress,19,813
delay,19,814
parties,19,815
busy,19,816
passing,19,817
eager,19,818
answered,19,819
otherwise,19,820
disposed,19,821
calling,19,822
william,19,823
hint,19,824
imagined,19,825
sweet,19,826
speech,19,827
attempt,19,828
happily,19,829
mention,19,830
information,19,831
dearest,19,832
angry,19,833
altogether,19,834
worst,19,835
suspicion,19,836
unhappy,19,837
form,18,838
considered,18,839
pride,18,840
fortnight,18,841
joy,18,842
spend,18,843
that's,18,844
tired,18,845
period,18,846
thrown,18,847
safely,18,848
listen,18,849
anxiety,18,850
close,18,851
sudden,18,852
rational,18,853
forgotten,18,854
equally,18,855
disagreeable,18,856
low,18,857
finding,18,858
reflection,18,859
severe,18,860
living,18,861
move,18,862
disappointment,18,863
charge,18,864
opportunity,18,865
charade,18,866
makes,18,867
whatever,18,868
niece,18,869
disappointed,18,870
wrote,18,871
single,18,872
play,17,873
slight,17,874
considerable,17,875
during,17,876
behind,17,877
warmly,17,878
james,17,879
live,17,880
confidence,17,881
lines,17,882
promised,17,883
growing,17,884
gives,17,885
views,17,886
exercise,17,887
run,17,888
road,17,889
regular,17,890
man's,17,891
joined,17,892
effect,17,893
prevent,17,894
indifferent,17,895
difficulties,17,896
weymouth,17,897
arrived,17,898
cause,17,899
besides,17,900
possibly,17,901
history,17,902
dislike,17,903
credit,17,904
friendly,17,905
occurred,17,906
worthy,17,907
desirable,17,908
shewed,17,909
wishing,17,910
important,17,911
countenance,17,912
simple,17,913
delicacy,16,914
concern,16,915
seriously,16,916
conviction,16,917
dreadful,16,918
cut,16,919
miles,16,920
fully,16,921
vicarage,16,922
snow,16,923
laugh,16,924
laughing,16,925
reached,16,926
trouble,16,927
anywhere,16,928
future,16,929
welcome,16,930
agitation,16,931
intended,16,932
opened,16,933
returning,16,934
inferior,16,935
thousand,16,936
amused,16,937
alarm,16,938
proved,16,939
getting,16,940
remained,16,941
arrangement,16,942
smiled,16,943
recollect,16,944
mere,16,945
gentle,16,946
agree,15,947
chosen,15,948
tolerably,15,949
listened,15,950
mother's,15,951
opening,15,952
itself,15,953
suffering,15,954
daughter's,15,955
reading,15,956
absence,15,957
ideas,15,958
value,15,959
dine,15,960
circle,15,961
prepared,15,962
apples,15,963
assured,15,964
invited,15,965
totally,15,966
minute,15,967
share,15,968
fire,15,969
compliments,15,970
refuse,15,971
stood,15,972
ourselves,15,973
ways,15,974
command,15,975
admired,15,976
liked,15,977
drawn,15,978
placed,15,979
education,15,980
somebody,15,981
belong,15,982
line,15,983
assistance,15,984
occupied,15,985
comprehend,15,986
waiting,15,987
don't,15,988
elegance,14,989
endeavour,14,990
immediate,14,991
churchills,14,992
servants,14,993
cure,14,994
proposed,14,995
rich,14,996
concerned,14,997
grateful,14,998
suspected,14,999
staying,14,1000
easily,14,1001
ground,14,1002
escape,14,1003
coles,14,1004
gratified,14,1005
seldom,14,1006
expectation,14,1007
mistake,14,1008
ireland,14,1009
advice,14,1010
repeated,14,1011
nearly,14,1012
visits,14,1013
instantly,14,1014
confusion,14,1015
interested,14,1016
catch,14,1017
following,14,1018
amusement,14,1019
persuade,14,1020
reply,14,1021
receiving,14,1022
naturally,14,1023
powers,14,1024
laughed,14,1025
stopped,14,1026
hawkins,14,1027
produced,14,1028
indifference,14,1029
hundred,14,1030
order,14,1031
former,14,1032
explanation,14,1033
drawing-room,14,1034
infinitely,14,1035
invite,14,1036
act,14,1037
rooms,14,1038
musical,14,1039
neighbours,14,1040
acknowledge,14,1041
remain,14,1042
fresh,14,1043
harm,13,1044
richmond,13,1045
unpleasant,13,1046
excepting,13,1047
nash,13,1048
fit,13,1049
piece,13,1050
hold,13,1051
assist,13,1052
arrival,13,1053
boys,13,1054
consent,13,1055
attend,13,1056
around,13,1057
burst,13,1058
parting,13,1059
increase,13,1060
martins,13,1061
avoid,13,1062
strength,13,1063
public,13,1064
imagination,13,1065
habit,13,1066
blind,13,1067
suffer,13,1068
utmost,13,1069
evidently,13,1070
misery,13,1071
wonderful,13,1072
smiles,13,1073
drawing,13,1074
spring,13,1075
strange,13,1076
martin's,13,1077
merit,13,1078
winter,13,1079
confess,13,1080
fancying,13,1081
neighbourhood,13,1082
good-will,13,1083
decidedly,13,1084
stop,13,1085
fast,13,1086
tender,13,1087
sensations,13,1088
deep,13,1089
endure,13,1090
compassion,13,1091
express,13,1092
isabella's,13,1093
prospect,13,1094
paper,13,1095
objection,13,1096
civil,13,1097
required,13,1098
madam,13,1099
follow,13,1100
fears,13,1101
appears,13,1102
break,13,1103
favourable,13,1104
passage,13,1105
willing,13,1106
master,13,1107
boy,12,1108
moments,12,1109
truly,12,1110
finished,12,1111
proceeded,12,1112
suspicions,12,1113
larkins,12,1114
sisters,12,1115
habits,12,1116
intelligence,12,1117
blessing,12,1118
above,12,1119
claim,12,1120
leisure,12,1121
light,12,1122
vanity,12,1123
undoubtedly,12,1124
impatient,12,1125
settle,12,1126
arm,12,1127
observation,12,1128
admitted,12,1129
eat,12,1130
sooner,12,1131
induced,12,1132
probability,12,1133
melancholy,12,1134
suit,12,1135
beg,12,1136
rate,12,1137
breakfast,12,1138
importance,12,1139
thus,12,1140
happen,12,1141
size,12,1142
begun,12,1143
increased,12,1144
suckling,12,1145
desired,12,1146
patty,12,1147
become,12,1148
material,12,1149
solicitude,12,1150
questions,12,1151
frightened,12,1152
intercourse,12,1153
wretched,12,1154
spare,12,1155
seated,12,1156
aye,12,1157
expecting,12,1158
particulars,12,1159
awkward,12,1160
venture,12,1161
thorough,12,1162
complexion,12,1163
possibility,12,1164
girls,12,1165
proceed,12,1166
hair,12,1167
cole's,12,1168
lively,12,1169
advantages,12,1170
separate,12,1171
caution,12,1172
touch,12,1173
bride,12,1174
private,12,1175
inquiry,12,1176
story,12,1177
nephew,12,1178
drive,12,1179
earnestly,12,1180
becoming,12,1181
conscious,11,1182
silly,11,1183
accomplished,11,1184
confined,11,1185
accepted,11,1186
paying,11,1187
clear,11,1188
gallant,11,1189
suffered,11,1190
month,11,1191
keeping,11,1192
writing,11,1193
families,11,1194
patience,11,1195
glance,11,1196
peculiarly,11,1197
connected,11,1198
quarrel,11,1199
tells,11,1200
exclaimed,11,1201
intelligible,11,1202
refused,11,1203
maid,11,1204
extreme,11,1205
persuasion,11,1206
exceedingly,11,1207
chair,11,1208
add,11,1209
accept,11,1210
entreat,11,1211
comfortably,11,1212
fear,11,1213
cared,11,1214
recovered,11,1215
advise,11,1216
window,11,1217
folly,11,1218
borne,11,1219
friend's,11,1220
raise,11,1221
succeeded,11,1222
six,11,1223
step,11,1224
declare,11,1225
kindly,11,1226
places,11,1227
journey,11,1228
humble,11,1229
grandmama,11,1230
highest,11,1231
arranged,11,1232
brunswick,11,1233
human,11,1234
subjects,11,1235
formed,11,1236
persons,11,1237
garden,11,1238
youth,11,1239
affections,11,1240
steady,11,1241
forced,11,1242
continue,11,1243
dream,11,1244
lovely,11,1245
closed,11,1246
feared,11,1247
presume,11,1248
carriages,11,1249
warmth,11,1250
hard,11,1251
prove,11,1252
bringing,11,1253
eagerly,11,1254
addition,11,1255
uneasy,11,1256
mortification,11,1257
acknowledged,11,1258
disengaged,11,1259
excessively,11,1260
differently,11,1261
judged,11,1262
smith's,11,1263
success,11,1264
lead,11,1265
sea,11,1266
faults,11,1267
laid,11,1268
nervous,11,1269
mile,11,1270
lay,11,1271
wholly,11,1272
companions,11,1273
peace,11,1274
gallantry,11,1275
receive,10,1276
preferred,10,1277
comparison,10,1278
scruple,10,1279
wit,10,1280
sunk,10,1281
conveyed,10,1282
consolation,10,1283
remarkably,10,1284
deserved,10,1285
asking,10,1286
e,10,1287
sufficient,10,1288
positively,10,1289
united,10,1290
wants,10,1291
higher,10,1292
leaving,10,1293
ordered,10,1294
superiority,10,1295
employment,10,1296
dependence,10,1297
admit,10,1298
independence,10,1299
begged,10,1300
bed,10,1301
partner,10,1302
connexions,10,1303
fell,10,1304
seeming,10,1305
rule,10,1306
direct,10,1307
happier,10,1308
gradually,10,1309
compared,10,1310
draw,10,1311
nice,10,1312
unreasonable,10,1313
lane,10,1314
proposal,10,1315
writes,10,1316
grow,10,1317
points,10,1318
deeply,10,1319
inconvenience,10,1320
moment's,10,1321
charm,10,1322
safety,10,1323
preference,10,1324
perceived,10,1325
school,10,1326
syllable,10,1327
seat,10,1328
watch,10,1329
evils,10,1330
named,10,1331
christmas,10,1332
forming,10,1333
pretend,10,1334
england,10,1335
civility,10,1336
apparent,10,1337
pause,10,1338
one's,10,1339
fall,10,1340
reserve,10,1341
grew,10,1342
sacrifice,10,1343
report,10,1344
message,10,1345
grounds,10,1346
unless,10,1347
