Word,Frequency,Rank
society,13,670
clear,13,671
tenant,13,672
danger,13,673
appear,13,674
itself,13,675
became,13,676
tried,13,677
hint,13,678
interesting,13,679
listen,13,680
power,13,681
invitation,13,682
breakfast,13,683
croft's,13,684
moments,13,685
greater,13,686
share,13,687
along,13,688
become,13,689
regret,13,690
severe,13,691
dine,13,692
calling,13,693
read,13,694
due,13,695
strength,13,696
especially,13,697
extraordinary,13,698
pleasant,13,699
fair,13,700
sake,13,701
opportunity,13,702
enjoyment,13,703
improved,13,704
smile,13,705
easy,13,706
duty,13,707
personal,13,708
bring,13,709
mentioned,13,710
navy,13,711
dare,13,712
rooms,13,713
fixed,13,714
yours,13,715
pity,13,716
forget,13,717
heir,12,718
eldest,12,719
temper,12,720
thank,12,721
promised,12,722
growing,12,723
pass,12,724
leaving,12,725
miles,12,726
wait,12,727
cold,12,728
smiling,12,729
louisa's,12,730
occasion,12,731
letters,12,732
admitted,12,733
around,12,734
altered,12,735
directly,12,736
begun,12,737
stood,12,738
board,12,739
remained,12,740
certain,12,741
exceedingly,12,742
difficulties,12,743
spirit,12,744
placed,12,745
consider,12,746
six,12,747
ten,12,748
wishing,12,749
mention,12,750
putting,12,751
plan,12,752
harville's,12,753
desirable,12,754
surprised,12,755
occupied,12,756
recollect,12,757
chance,11,758
written,11,759
hers,11,760
boy,11,761
satisfaction,11,762
dignity,11,763
domestic,11,764
death,11,765
scarcely,11,766
spend,11,767
sick,11,768
rich,11,769
truly,11,770
rank,11,771
silent,11,772
instant,11,773
fond,11,774
confidence,11,775
hints,11,776
anxiety,11,777
useful,11,778
spring,11,779
spite,11,780
moment's,11,781
declare,11,782
ma'am,11,783
observe,11,784
wishes,11,785
eager,11,786
elegant,11,787
effect,11,788
gentlemen,11,789
lodgings,11,790
charles's,11,791
returning,11,792
opinions,11,793
direction,11,794
intercourse,11,795
nice,11,796
winthrop,11,797
warmth,11,798
shut,11,799
bringing,11,800
age,11,801
happened,11,802
sound,11,803
occurred,11,804
differently,11,805
resolution,11,806
sitting,11,807
required,11,808
considering,11,809
silence,11,810
depend,11,811
inclination,11,812
seems,11,813
mere,11,814
carteret,11,815
expect,10,816
gratitude,10,817
wanting,10,818
weeks,10,819
servant,10,820
excepting,10,821
sentiments,10,822
pleasing,10,823
begin,10,824
admiration,10,825
superiority,10,826
join,10,827
mine,10,828
nay,10,829
rights,10,830
creature,10,831
fancied,10,832
reach,10,833
vanity,10,834
avoid,10,835
report,10,836
ask,10,837
sister's,10,838
properly,10,839
indulgence,10,840
girl,10,841
sooner,10,842
misery,10,843
autumn,10,844
wrong,10,845
ideas,10,846
dr,10,847
promise,10,848
suspense,10,849
charm,10,850
invited,10,851
beauty,10,852
constant,10,853
affected,10,854
importance,10,855
school,10,856
fit,10,857
happen,10,858
joined,10,859
ended,10,860
winter,10,861
evident,10,862
confess,10,863
merely,10,864
birth,10,865
opened,10,866
lately,10,867
painful,10,868
service,10,869
daughters,10,870
several,10,871
summer,10,872
eight,10,873
continually,10,874
reply,10,875
books,10,876
evidently,10,877
horses,10,878
tenderness,10,879
connexion,10,880
produced,10,881
suffer,10,882
indifference,10,883
order,10,884
forced,10,885
astonishment,10,886
baronet,10,887
credit,10,888
smiled,10,889
peace,10,890
soul,9,891
closed,9,892
work,9,893
divided,9,894
allow,9,895
arrival,9,896
send,9,897
five,9,898
suffered,9,899
safe,9,900
tired,9,901
attend,9,902
distance,9,903
admit,9,904
convinced,9,905
removal,9,906
mother's,9,907
claim,9,908
nerves,9,909
proved,9,910
village,9,911
absence,9,912
dangerous,9,913
warmly,9,914
fell,9,915
clay's,9,916
views,9,917
secret,9,918
ah,9,919
hill,9,920
praise,9,921
motive,9,922
venture,9,923
cheerful,9,924
recommend,9,925
escape,9,926
suit,9,927
sounds,9,928
companion,9,929
superior,9,930
anywhere,9,931
complete,9,932
forgotten,9,933
attentions,9,934
thus,9,935
quit,9,936
compliments,9,937
highest,9,938
listening,9,939
widow,9,940
excite,9,941
pause,9,942
otherwise,9,943
except,9,944
subjects,9,945
inferior,9,946
persons,9,947
necessity,9,948
hopes,9,949
fall,9,950
solicitude,9,951
rain,9,952
sensations,9,953
enquiries,9,954
affection,9,955
thoughts,9,956
move,9,957
indifferent,9,958
intimacy,9,959
actually,9,960
arrived,9,961
following,9,962
welcome,9,963
amusement,9,964
imagined,9,965
try,9,966
intimate,9,967
features,9,968
capable,9,969
possibility,9,970
god,9,971
blessing,9,972
